# 单字一简三重
子	z
# 单字二简二重
熛	bq
抱	bz
猜	ch
带	dh
哥	ge
竞	jg
咯	ll
佬	lz
# 词组二简二重
是的	ed
前滩	qt
我是	we
# 词组二重
大数	dsej
大史	dsek
夶䎜	dslz
大疆	dsjx
是指	ekfk
公历	gylk
借点	jddm
江津区	jjq
一丢丢	ydd
义项	ykxx
# 部首偏旁
⺄	a
𠃊	a
㇉	a
𠄌	a
㔾	aa
㡭	aaoaao
芔	aiiaiu
艸	aiuaii
茻	aiuaii
⺪	aiviv
龴	ao
𢀖	aoviv
𠬤	aovvi
丱	auiiv
𠃓	auu
肀	avvi
⺻	avviv
𰀡	iiao
𫇦	iioa
𰀢	iiuvo
龸	iouoa
龵	iu
⺗	iuoo
攴	ivao
卝	iviv
⺿	ivvi
乀	o
⺳	oauo
𧾷	oiviv
𭕄	oou
𰃮	oouoa
䒑	ouv
⺷	ouvviv
龹	ouvvuo
⺶	ouvvvu
㐬	ovaoui
𰁜	oviiuo
𧘇	uauo
龺	uooiuo
尣	uoua
⺁	uu
⺧	uviv
𥫗	uvouvo
龵	uvvu
匸	va
𰀂	vav
𰀄	vav
丅	vi
𰀉	viavi
𰀁	vvu
# 多音节字
𤿱	bdpkoa
𱁬	dbdsvo
𠄯	kbbnvv
𦒹	lzlquo
