栃	⿰木厉 lì
𠀎	⿻龷一
𠂒	⺧
𠂭	⿳丶⿲丶乂丶丶
𠃓	昜
𠃜	⿴尸丨
𠆲	儣
𠇹	俓
𠈁	⿰亻⿸𠂆⿱一匕 tuō
𠈙	俴
𠉂	㒓
𠋆	儭
𠌂	⿻个⿱㸚一 sǎn
𠎤	⿳亼吅冊 yuè
𠕁	⿵冂艹 cóng
𠕂	⿱一⿴⿻冂一一 zài
𠕅	⿱一冄 zài
𠕻	⿱冖元 yāo
𠖇	⿱冖旲 míng
𠗲	⿰月⿱龹⺀ líng
𠘂	⿰冫欶 sōu
𠚍	⿶凵⿳丶⿲丶乂丶丶 chàng
𠚥	⿰刀刂 diāo
𠛀	⿰公刂 zhōng
𠛅	剾
𠝣	⿰歬刂 jiǎn
𠞭	⿰婁刂 lóu
𠞰	⿰巢刀 chāo jiǎo
𠡠	勑
𠣑	⿹勹元 yāo
𠣿	⿹勹㲃 jiù
𠦎	⿳八八十 qìn
𠧢	⿱⺊㫐 zhuān huì
𠫓	⿻厶一 tū
𠫭	⿱厶夵 cān
𠫳	⿰去及 jí
𠬢	⿱屮又 tāo
𠬤	睪
𠭯	⿰虘又 zhā
𠭰	⿸𠩺又 lí
𠮙	⿰口乙 yǐ
𠮛	⿱一口 zhǐ
𠮢	⿱又口 yòu
𠮥	⿱⺈口 zhào Shào
𠯑	⿱氏口 guā
𠯟	哯
𠯠	噅
𠱠	⿰口吅 líng
𠲎	fa ⿰口伐
𠳆	⿹[右下包围]戈⿻丨二口 zāi
𠳼	⿰口宋 sòng
𠴂	⿰口努 nǔ
𠴟	⿰口芈 miē
𠷿	⿰口怎 zǎ
𠻳	⿰口敕 sòu
𠼟	⿰口⿱八面 lüè
𠼮	⿰口僞
𠽸	⿱吅頁 xiāo áo
𠿓	⿰口䪞 sà
𡃄	⿰口賚 lài
𡉫	⿱屯土 tún
𡌴	⿱直土 zhí
𡍷	⿰土恒 gèng
𡏋	⿱浦土 pǔ
𡑤	⿱吂⿲月土凡 luǒ
𡒇	⿰土⿳⿶凵⿳丶⿲丶乂丶丶八夂 zōng
𡕰	⿳⿶凵⿳丶⿲丶乂丶丶八夂 zōng
𡖇	⿰夕夕 duō
𡛝	⿰歺女 càn
𡛰	嬂
𡝈	⿲女夫女 chù
𡝉	⿱夫⿰女女 cū
𡠟	孎
𡣠	⿱⿰男男女 yāo
𡣡	⿱女⿰男男 yāo
𡤫	⿱䶗女 qiā
𡥃	⿰子女 hǎo hào
𡥎	⿱此子 zǐ
𡨄	⿳宀⿻龷一八
𡨘	⿱宀兎 yuān
𡨡	⿱宀奂 huán
𡨥	⿱宀⿺元攵 kòu
𡨪	⿳宀心月 níng nìng
𡩁	寴
𡩉	⿳宀心旦 xiàng
𡪕	⿳宀心⿱吅一 níng nìng
𡪥	⿳宀心⿱⺊㫐 xiǎng
𡫃	⿳宀心⿱罒天 níng
𡬕	⿳宀心⿱老䎜 lóng
𡬛	⿳宀心⿱竝䖵 níng nìng
𡭗	⿱入小 ěr
𡯦	⿺尢朵 duò
𡱒	⿸尸共 tún
𡳴	⿱吂⿲月⿱廿尸凡 lú
𡴎	⿱屮𠂤 niè
𡵌	⿰山叉 chā
𡵝	嵸
𡶴	嵼
𡸃	⿱山佥 xiǎn
𡺃	嶈
𡺄	嶘
𡽗	⿱山僉 xiǎn
𡿧	⿻巛一 zāi
𢀖	巠
𢄡	⿸𠩺巾 lí
𢆉	⿱丷干 rěn
𢆶	⿰幺幺 yōu zī
𢇇	⿱⿰幺幺丱 guān
𢌚	⿺廴山 chān
𢍏	⿱釆廾 juàn
𢎀	⿱弋月 yì
